epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6193,0.56268,2.9118,1.0218,0.88161,0.54502,0.63372,0.54607,0.56166,1.97489,1.00697,0.000158223,0.000158223,0.000158223
2,63.8907,0.61165,1.4807,1.02496,0.78475,0.7587,0.8093,0.70161,0.56288,1.27571,1.00261,0.000316813,0.000316813,0.000316813
3,92.8809,0.63126,1.1719,1.02608,0.83618,0.79056,0.83105,0.71455,0.57769,1.02422,1.04533,0.000475092,0.000475092,0.000475092
4,123.115,0.65003,1.04492,1.03371,0.78459,0.83895,0.86814,0.75242,0.59228,0.91299,1.01796,0.000474954,0.000474954,0.000474954
5,153.574,0.65838,0.97948,1.04022,0.81424,0.79647,0.85941,0.74403,0.59513,0.95396,1.02275,0.000474142,0.000474142,0.000474142
6,184.474,0.64605,0.90305,1.03382,0.84331,0.82388,0.9072,0.78656,0.58782,0.80413,1.01379,0.000473099,0.000473099,0.000473099
7,215.94,0.65099,0.8753,1.03649,0.85898,0.85254,0.91794,0.79873,0.58985,0.75703,1.02947,0.000471827,0.000471827,0.000471827
8,247.375,0.6551,0.8369,1.03747,0.87157,0.88946,0.92902,0.80609,0.58768,0.64005,1.01694,0.000470326,0.000470326,0.000470326
9,278.38,0.65399,0.80339,1.04179,0.90196,0.88074,0.93722,0.80683,0.59705,0.62588,1.01941,0.000468598,0.000468598,0.000468598
10,310.049,0.64499,0.77515,1.02959,0.92167,0.88455,0.94063,0.82221,0.59837,0.58915,1.01934,0.000466644,0.000466644,0.000466644
11,341.194,0.63914,0.72904,1.02073,0.89955,0.92275,0.95495,0.84008,0.56751,0.54271,1.01536,0.000464468,0.000464468,0.000464468
12,372.4,0.65505,0.72913,1.04204,0.92529,0.88225,0.94603,0.82214,0.60445,0.5634,1.02973,0.00046207,0.00046207,0.00046207
13,403.895,0.64823,0.72097,1.02899,0.92065,0.90792,0.95925,0.83506,0.59774,0.50212,1.02709,0.000459454,0.000459454,0.000459454
14,453.356,0.64907,0.71173,1.03725,0.93505,0.90349,0.95087,0.83331,0.57386,0.47833,1.01964,0.000456621,0.000456621,0.000456621
15,484.68,0.63552,0.68079,1.03085,0.93145,0.92993,0.96271,0.84564,0.58713,0.48535,1.01833,0.000453575,0.000453575,0.000453575
16,515.445,0.64921,0.69479,1.03342,0.92759,0.89719,0.95556,0.83688,0.57191,0.49988,1.02529,0.000450319,0.000450319,0.000450319
