epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6054,1.28867,3.23364,1.67627,0.20307,0.58425,0.22395,0.11435,1.44049,3.06013,1.94633,0.000302016,0.000302016,0.000302016
2,51.5084,1.34217,2.43349,1.64736,0.22359,0.618,0.29651,0.15565,1.48873,2.60823,1.97236,0.000604868,0.000604868,0.000604868
3,75.576,1.32854,2.26018,1.65849,0.234,0.62148,0.34735,0.18288,1.49052,2.21733,1.95182,0.000907129,0.000907129,0.000907129
4,100.053,1.34384,2.1246,1.64482,0.3466,0.54004,0.38025,0.1923,1.56054,2.01833,2.01556,0.000907003,0.000907003,0.000907003
5,122.637,1.31446,2.05357,1.61958,0.38442,0.49004,0.40328,0.21332,1.54898,1.93721,2.01966,0.000905452,0.000905452,0.000905452
6,145.784,1.31723,2.01241,1.63104,0.28451,0.48607,0.34559,0.19128,1.45638,1.95119,1.89816,0.00090346,0.00090346,0.00090346
7,167.923,1.29555,1.97709,1.60762,0.33057,0.55076,0.38315,0.19827,1.56108,1.95211,1.99998,0.00090103,0.00090103,0.00090103
8,190.581,1.28263,1.88334,1.60352,0.40389,0.55672,0.43754,0.2411,1.52886,1.78684,1.94586,0.000898164,0.000898164,0.000898164
9,221.483,1.28653,1.88843,1.60624,0.33742,0.58213,0.41723,0.21504,1.52568,1.94654,1.94324,0.000894864,0.000894864,0.000894864
10,246.927,1.26061,1.86466,1.57922,0.40592,0.54539,0.44553,0.23104,1.57881,1.92572,2.00884,0.000891134,0.000891134,0.000891134
11,272.098,1.23887,1.82392,1.58026,0.38641,0.50167,0.40126,0.22464,1.46967,1.90636,1.93662,0.000886978,0.000886978,0.000886978
12,296.103,1.25351,1.80634,1.57031,0.37219,0.53907,0.44021,0.23756,1.47206,1.82674,1.88924,0.000882399,0.000882399,0.000882399
13,320.071,1.22953,1.75853,1.56112,0.44732,0.48966,0.44347,0.24793,1.47234,1.76681,1.91624,0.000877403,0.000877403,0.000877403
14,343.39,1.21847,1.77038,1.55929,0.41426,0.56943,0.46104,0.24742,1.52292,1.76897,1.98564,0.000871993,0.000871993,0.000871993
15,366.297,1.2267,1.71323,1.56379,0.3959,0.53116,0.45134,0.25191,1.44445,1.88253,1.90051,0.000866176,0.000866176,0.000866176
16,389.465,1.21224,1.72447,1.54576,0.36358,0.53943,0.43046,0.24408,1.47277,1.783,1.89821,0.000859958,0.000859958,0.000859958
17,412.103,1.1854,1.67642,1.53796,0.41868,0.53456,0.48195,0.2848,1.49219,1.83219,1.9315,0.000853344,0.000853344,0.000853344
18,435.486,1.20675,1.65487,1.53552,0.40718,0.51521,0.42589,0.24107,1.47578,1.86655,1.91776,0.00084634,0.00084634,0.00084634
19,459.031,1.18749,1.62139,1.52859,0.41793,0.52926,0.49623,0.27865,1.4653,1.6292,1.90675,0.000838955,0.000838955,0.000838955
