epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8596,1.24844,2.02776,1.57057,0.75872,0.77726,0.81129,0.57352,0.9206,1.83915,1.40451,0.00055152,0.00055152,0.00055152
2,68.5061,1.3099,1.50307,1.56183,0.71535,0.72888,0.7778,0.50772,1.06669,1.96403,1.5385,0.00110692,0.00110692,0.00110692
3,97.9836,1.33734,1.49094,1.57616,0.6309,0.7378,0.77689,0.48707,1.16106,1.6976,1.5794,0.00166123,0.00166123,0.00166123
4,129.791,1.32282,1.42584,1.56084,0.70155,0.7441,0.75176,0.49375,1.14716,1.79717,1.57014,0.00166334,0.00166334,0.00166334
5,162.524,1.32962,1.43032,1.59028,0.78458,0.73286,0.79641,0.49867,1.1334,1.31894,1.58692,0.00166049,0.00166049,0.00166049
6,193.789,1.34475,1.4333,1.59336,0.755,0.78611,0.81259,0.53117,1.12361,1.32986,1.53516,0.00165684,0.00165684,0.00165684
7,225.215,1.32474,1.3794,1.57913,0.7218,0.76249,0.78494,0.50921,1.1386,1.29035,1.5785,0.00165238,0.00165238,0.00165238
8,256.064,1.33586,1.38717,1.58014,0.81718,0.76123,0.81338,0.54167,1.04138,1.64725,1.49219,0.00164713,0.00164713,0.00164713
9,286.332,1.30836,1.34311,1.57029,0.72181,0.77887,0.77493,0.50713,1.12937,1.51671,1.55448,0.00164108,0.00164108,0.00164108
10,319.743,1.30139,1.32443,1.56039,0.76497,0.77271,0.78749,0.47578,1.21815,1.21168,1.62156,0.00163424,0.00163424,0.00163424
11,350.071,1.28121,1.28085,1.53913,0.75834,0.78533,0.78183,0.50846,1.0993,1.26162,1.5194,0.00162661,0.00162661,0.00162661
12,846.634,1.28971,1.31502,1.54646,0.65219,0.79639,0.80054,0.5133,1.10732,1.23976,1.53248,0.00161822,0.00161822,0.00161822
13,878.342,1.27605,1.28316,1.54233,0.79975,0.76123,0.81268,0.52464,1.07058,1.30061,1.51787,0.00160905,0.00160905,0.00160905
14,911.303,1.27181,1.25162,1.51637,0.76552,0.77355,0.77284,0.50869,1.13961,1.1303,1.5484,0.00159913,0.00159913,0.00159913
15,944.872,1.247,1.23678,1.51992,0.85435,0.78481,0.85884,0.56318,1.07723,1.04273,1.49512,0.00158847,0.00158847,0.00158847
16,975.591,1.23784,1.23785,1.50958,0.75124,0.78717,0.80794,0.51312,1.12231,1.08804,1.5613,0.00157706,0.00157706,0.00157706
17,1006.06,1.24273,1.22921,1.51818,0.65755,0.65353,0.67542,0.44689,1.16325,1.37836,1.57975,0.00156493,0.00156493,0.00156493
18,1037.42,1.22297,1.19657,1.49894,0.83532,0.79113,0.85605,0.56714,1.09674,0.94338,1.52097,0.00155209,0.00155209,0.00155209
19,1171.32,1.22581,1.18353,1.506,0.79882,0.7923,0.83842,0.57394,1.03168,0.95288,1.45952,0.00153854,0.00153854,0.00153854
20,1202.47,1.23721,1.23097,1.51622,0.83486,0.81585,0.85612,0.54879,1.12654,0.98868,1.55008,0.00152431,0.00152431,0.00152431
21,1236.27,1.20817,1.19196,1.49811,0.69496,0.71464,0.73167,0.49991,1.07461,1.26279,1.50403,0.00150941,0.00150941,0.00150941
22,1266.54,1.20658,1.16971,1.48534,0.84462,0.76858,0.8276,0.54789,1.06602,1.10774,1.50187,0.00149384,0.00149384,0.00149384
23,1298.78,1.19631,1.17323,1.49697,0.85972,0.81635,0.87908,0.5875,1.09206,1.0442,1.51684,0.00147764,0.00147764,0.00147764
24,1332.48,1.16691,1.13352,1.47943,0.8045,0.80712,0.83061,0.55412,1.09945,1.06433,1.53551,0.0014608,0.0014608,0.0014608
25,1509.94,1.19027,1.13238,1.47832,0.83598,0.79844,0.84146,0.5679,1.0457,1.16569,1.46374,0.00144335,0.00144335,0.00144335
26,1543.04,1.15672,1.10683,1.45314,0.85467,0.83262,0.88625,0.59767,1.0083,0.91554,1.45258,0.00142531,0.00142531,0.00142531
27,1576.79,1.19205,1.14865,1.48595,0.8084,0.82177,0.86307,0.57891,1.06148,0.98184,1.46911,0.0014067,0.0014067,0.0014067
28,1607.54,1.1752,1.12653,1.46211,0.82585,0.79854,0.84661,0.5683,1.04987,1.03287,1.47596,0.00138753,0.00138753,0.00138753
29,1638.31,1.14485,1.09547,1.44793,0.83129,0.77965,0.86996,0.59236,1.04429,1.00299,1.46639,0.00136781,0.00136781,0.00136781
30,1670.89,1.15196,1.10795,1.45364,0.8038,0.8026,0.85553,0.57353,1.04595,0.95428,1.48083,0.00134758,0.00134758,0.00134758
