epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.858,0.96017,3.71483,1.31584,0.27222,0.49848,0.31904,0.24276,0.78995,3.32564,1.19627,0.000207023,0.000207023,0.000207023
2,105.562,0.97802,2.60931,1.29248,0.4936,0.62541,0.56853,0.39769,0.98779,2.77249,1.39039,0.000415255,0.000415255,0.000415255
3,156.248,0.96586,2.17458,1.25355,0.50976,0.57835,0.51752,0.40345,0.82699,2.58832,1.2347,0.000623081,0.000623081,0.000623081
4,745.776,0.94324,1.94049,1.22059,0.65538,0.5386,0.65383,0.47302,0.91902,2.64918,1.29621,0.000623627,0.000623627,0.000623627
5,795.951,0.9459,1.74475,1.22201,0.7295,0.69885,0.7891,0.6175,0.79532,1.59539,1.19056,0.00062256,0.00062256,0.00062256
6,846.616,0.91353,1.53814,1.20273,0.63575,0.67178,0.73608,0.57535,0.79163,1.67862,1.18018,0.000621191,0.000621191,0.000621191
7,896.487,0.91064,1.43326,1.19126,0.65872,0.68347,0.73411,0.56962,0.80093,1.58995,1.19497,0.00061952,0.00061952,0.00061952
8,946.38,0.90247,1.31379,1.18338,0.7733,0.78687,0.85204,0.6814,0.72897,1.16867,1.14641,0.000617549,0.000617549,0.000617549
9,996.934,0.84735,1.2096,1.15663,0.78524,0.76895,0.86172,0.68454,0.72365,1.06997,1.13803,0.00061528,0.00061528,0.00061528
10,1047.15,0.87636,1.22745,1.16529,0.74032,0.68648,0.77596,0.62276,0.71266,1.27158,1.11506,0.000612716,0.000612716,0.000612716
11,1096.57,0.85279,1.16767,1.1614,0.77821,0.75342,0.86833,0.68609,0.74481,1.00342,1.14541,0.000609858,0.000609858,0.000609858
12,1146.78,0.84049,1.08306,1.1481,0.80366,0.77579,0.88351,0.71157,0.70769,0.92661,1.12527,0.00060671,0.00060671,0.00060671
13,1197.11,0.8567,1.05894,1.15247,0.81601,0.82013,0.89781,0.71923,0.69567,0.84619,1.11431,0.000603275,0.000603275,0.000603275
14,1247.23,0.82129,1.01426,1.14337,0.84128,0.84395,0.92082,0.73949,0.70752,0.74263,1.13686,0.000599555,0.000599555,0.000599555
15,1297.11,0.82013,0.99538,1.14113,0.77956,0.83567,0.89053,0.71909,0.68361,0.84262,1.1167,0.000595556,0.000595556,0.000595556
16,1346.78,0.81464,0.95708,1.129,0.79078,0.83231,0.90187,0.73491,0.6592,0.79756,1.09916,0.00059128,0.00059128,0.00059128
17,1395.64,0.81278,0.95629,1.13767,0.88491,0.83872,0.92848,0.75434,0.69093,0.70125,1.09325,0.000586732,0.000586732,0.000586732
18,1445.95,0.80192,0.89035,1.12441,0.84865,0.82817,0.92053,0.74574,0.69783,0.74287,1.10976,0.000581917,0.000581917,0.000581917
